Tweet,Author ID,Date,cleaned_text,sentiment
"Bast stock group ♥️♥️
Discord👌👌

https://t.co/WUfz59GZw8

$BYFC $TSLA $SPY $BOXL $AAPL $AYRO $BNGO $PHUN $KODK https://t.co/Co2AEbkOpz",1838722759297503236,2024-12-30 10:34:54+00:00,bast stock group discord byfc tsla spy boxl aapl ayro bngo phun kodk,-0.4019
"learn trading, get alerts, ideas, updates, analysis ❤️❤️🙏🙏👇👇
https://t.co/WUfz59GZw8

$AMD $NVDA $TSLA $NDX $SPY $AAPL $BABA $NFLX $ROKU $BA $COST $MCD https://t.co/Qn6DwErgPY",1838722759297503236,2024-12-30 10:33:41+00:00,learn trading get alert idea update analysis amd nvda tsla ndx spy aapl baba nflx roku ba cost mcd,0.296
"Join the most profitable trading group 
https://t.co/ONFlmmqsjS

$GOOG $AAPL $SPY $AMZN $TDOC $TSLA $COST $BA $NFLX $NVDA https://t.co/kAaIQg5RIq",126792470,2024-12-30 10:33:40+00:00,join profitable trading group goog aapl spy amzn tdoc tsla cost ba nflx nvda,0.6249
$aapl   Here we go.....! https://t.co/OxWESGUvSy,1844556279408390144,2024-12-30 10:33:24+00:00,aapl go,0.0
$aapl is set and ready for a run up - - https://t.co/791rydkkdr,1701830647458021376,2024-12-30 10:33:17+00:00,aapl set ready run,0.3612
"Discord-https://t.co/WUfz59GZw8
 better, more executive trading chat room👌👌👌👌❤❤❤❤ 
$TSLA Rock on 🤑🤑🤑🤑

$UAVS $CETX $DGLY $TSLA $SPY $AMAZ $AAPL $ER
$FB $BB $FL $DE $ZM https://t.co/Po0UFc0R2f",1838722759297503236,2024-12-30 10:32:56+00:00,discord better executive trading chat room tsla rock uavs cetx dgly tsla spy amaz aapl er fb bb fl de zm,0.0516
"$CEMI $SPY $TSLA $SHOP $AMZN $NVDA $ROKU $EBAY $AMD $BB $DAL $DOW $KODK $AAPL $ESE $SPCE $FCEL $TRIP $BYND
Most profitable trading COMMUNITY https://t.co/ONFlmmqsjS https://t.co/KKTsyUUDVM",126792470,2024-12-30 10:32:35+00:00,cemi spy tsla shop amzn nvda roku ebay amd bb dal dow kodk aapl ese spce fcel trip bynd profitable trading community,0.4404
"$SPY $QQQ $DIS $TSLA $SHOP $AMD $AAPL $SQ $AMZN $GLD $VXX $MSFT

Thanks to the discord group for the traders join here https://t.co/WUfz59GZw8 https://t.co/non4pWqPJ2",1838722759297503236,2024-12-30 10:32:12+00:00,spy qqq dis tsla shop amd aapl sq amzn gld vxx msft thanks discord group trader join,0.34
$AAPL $SSNLF $SIUIF - Huawei slashes prices of several high-end devices - report https://t.co/TYLVcBmdrY,15296897,2024-12-30 10:31:30+00:00,aapl ssnlf siuif huawei slash price several highend device report,-0.2732
"Top Chatroom
https://t.co/ONFlmmqsjS
Join for both FREE &amp; PREMIUM SERVICE!

🗣️👥👤
$SPX $SPY $AMZN $AAPL $AMD $FB $SHOP $BYND $NVDA $GOOGL $MSFT $TSLA https://t.co/qUQPG41SF6",126792470,2024-12-30 10:31:12+00:00,top chatroom join free amp premium service spx spy amzn aapl amd fb shop bynd nvda googl msft tsla,0.743
"Couple of stats and quotes for the week ahead.

Join our discord:https://t.co/WUfz59GZw8

$ES_F $NQ_F $YM_F $SPY $SPX $QQQ $TLT $FB $AMZN $AAPL $NVDA $NFLX $GOOGL $TSLA $XLK $XLE $XLF https://t.co/Kga1w45o24",1838722759297503236,2024-12-30 10:30:00+00:00,couple stats quote week ahead join discord esf nqf ymf spy spx qqq tlt fb amzn aapl nvda nflx googl tsla xlk xle xlf,-0.128
